# IO表のデータ．項目名はなし．
1456.61 	0.08 	7793.61 	56.94 	0.00 	8.76 	0.00 	0.18 	2.14 	0.00 	1.76 	1360.94 	0.00 	1354.96 	12035.96 		
0.19 	1.47 	16857.98 	326.08 	6905.06 	0.00 	0.00 	0.00 	0.11 	0.00 	0.29 	1.15 	0.46 	-23332.80 	759.98 		
2638.26 	66.84 	127695.02 	14381.30 	2262.88 	2874.10 	872.57 	167.84 	6970.01 	2223.64 	2509.50 	29148.16 	453.96 	96315.42 	288579.47 		
70.56 	6.09 	1340.63 	74.07 	1179.54 	644.81 	188.42 	3155.66 	686.95 	322.76 	810.26 	1293.48 	0.00 	42741.26 	52514.49 		
129.03 	29.52 	5433.47 	279.22 	2867.13 	2104.78 	181.00 	420.75 	676.68 	399.01 	538.47 	4649.13 	64.92 	7981.57 	25754.67 		
659.19 	19.23 	16006.58 	3707.60 	398.91 	1925.85 	216.72 	113.88 	1325.36 	674.56 	507.16 	9723.86 	76.14 	58300.78 	93655.81 		
70.58 	26.91 	1667.19 	705.54 	415.85 	1595.78 	2012.26 	5383.06 	995.81 	219.68 	1629.21 	1858.02 	24.14 	15489.90 	32093.91 		
25.45 	7.52 	589.99 	243.66 	175.16 	3217.38 	631.48 	1561.97 	1016.73 	1214.66 	61.25 	2961.08 	195.26 	59285.95 	71187.53 		
621.42 	194.88 	7570.58 	2238.94 	901.22 	5274.31 	1087.03 	175.93 	5126.07 	1166.07 	1358.99 	4994.00 	397.54 	17127.05 	48234.03 		
40.88 	7.79 	1896.96 	473.69 	451.14 	3758.53 	1901.76 	287.01 	542.57 	7022.39 	1045.58 	7819.10 	212.21 	20700.65 	46160.26 		
0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1136.57 	38268.63 	39405.19 		
323.93 	53.74 	18328.73 	5531.97 	3128.79 	7466.07 	3759.09 	2196.55 	6265.30 	8353.52 	3976.91 	21759.44 	450.34 	142688.88 	224283.27 		
161.50 	5.80 	831.89 	783.32 	109.76 	672.80 	126.27 	344.57 	373.71 	303.17 	33.89 	1280.56 	0.00 	-16.98 	5010.28 		
5838.37 	340.12 	82566.86 	23712.17 	6959.23 	64112.65 	21117.31 	57380.14 	24252.59 	24260.80 	26931.91 	137434.36 	1998.75 	0.00 	0.00 		
12035.96 	759.98 	288579.47 	52514.49 	25754.67 	93655.81 	32093.91 	71187.53 	48234.03 	46160.26 	39405.19 	224283.27 	5010.28 	0.00 	0.00 		
																
																
																
																
																
																
																
